date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:58	21700/21700	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/breadcrumbs6.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/breadcrumbs6.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:59	21750/21750	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer1.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer1.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:59	20082/20082	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer2.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer2.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:01	21599/21599	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer3.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer3.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:01	22403/22403	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer4.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer4.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:02	22696/22696	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer5.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer5.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:04	21739/21739	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/footer6.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/footer6.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:05	21756/21756	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/copyright1.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/copyright1.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:06	21605/21605	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/copyright2.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/copyright2.html	(from http://webdesign-finder.com/html/plastrix/)
12:59:07	19523/19523	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/copyright3.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/copyright3.html	(from http://webdesign-finder.com/html/plastrix/)
